ano,num_arquivos,ultima_competencia,num_registros,registros_acumulado,ultima_atualizacao
2003,3,03/2003,15631103,249418789,2026-08-06 03:03:42
2002,12,12/2002,60333076,233787686,2026-08-06 02:40:16
2001,12,12/2001,52065733,173454610,2026-08-06 01:16:39
2000,12,12/2000,43925297,121388877,2026-08-06 00:11:15
1999,12,12/1999,23906017,77463580,2026-08-05 20:49:10
1998,12,12/1998,17841700,53557563,2026-08-05 20:15:58
1997,12,12/1997,13685454,35715863,2026-08-05 19:52:23
1996,12,12/1996,9456949,22030409,2026-08-05 19:34:25
1995,12,12/1995,8663796,12573460,2026-08-05 19:05:54
1994,6,12/1994,3909664,3909664,2026-08-05 18:47:56
